CRASH DATE,BOROUGH,ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED
3/31/2026,MANHATTAN,10017,1,0
3/31/2026,BROOKLYN,11215,1,0
3/31/2026,BROOKLYN,11224,1,0
3/31/2026,BROOKLYN,11237,0,0
3/31/2026,QUEENS,11429,0,0
3/31/2026,QUEENS,11362,1,0
3/31/2026,QUEENS,11375,0,0
3/31/2026,BROOKLYN,11201,0,0
3/31/2026,BROOKLYN,11234,1,0
3/31/2026,QUEENS,11357,1,0
3/31/2026,BRONX,10466,0,0
3/31/2026,BROOKLYN,11238,1,0
3/31/2026,BROOKLYN,11236,1,0
3/31/2026,STATEN ISLAND,10304,0,0
3/31/2026,BROOKLYN,11234,2,0
3/31/2026,,,1,0
3/31/2026,,,0,0
3/31/2026,BROOKLYN,11204,0,0
3/31/2026,BROOKLYN,11223,1,0
3/31/2026,MANHATTAN,10035,0,0
3/31/2026,QUEENS,11435,1,0
3/31/2026,MANHATTAN,10029,2,0
3/31/2026,MANHATTAN,10013,0,0
3/31/2026,,,0,0
3/31/2026,MANHATTAN,10036,0,0
3/31/2026,QUEENS,11375,1,0
3/31/2026,BROOKLYN,11214,0,0
3/31/2026,QUEENS,11362,0,0
3/31/2026,BRONX,10459,0,0
3/31/2026,BROOKLYN,11212,1,0
3/31/2026,QUEENS,11435,0,0
3/31/2026,MANHATTAN,10019,0,0
3/31/2026,MANHATTAN,10012,1,0
3/31/2026,,,2,0
3/31/2026,BRONX,10462,1,0
3/31/2026,,,0,0
3/31/2026,MANHATTAN,10128,0,0
3/31/2026,,,1,0
3/31/2026,MANHATTAN,10027,1,0
3/31/2026,,,1,0
3/31/2026,BRONX,10451,1,0
3/31/2026,,,0,0
3/31/2026,BRONX,10461,1,0
3/31/2026,QUEENS,11420,1,0
3/31/2026,MANHATTAN,10037,1,0
3/31/2026,BROOKLYN,11230,1,0
3/31/2026,,,0,0
3/31/2026,,,1,0
3/31/2026,,,0,0
3/31/2026,QUEENS,11377,2,0
3/31/2026,,,0,0
3/31/2026,BROOKLYN,11230,0,0
3/31/2026,,,0,0
3/31/2026,BROOKLYN,11217,1,0
3/31/2026,,,0,0
3/31/2026,STATEN ISLAND,10309,0,0
3/31/2026,BROOKLYN,11206,1,0
3/31/2026,MANHATTAN,10029,1,0
3/31/2026,QUEENS,11365,8,0
3/31/2026,,,1,0
3/31/2026,BROOKLYN,11214,0,0
3/31/2026,BROOKLYN,11223,1,0
3/31/2026,,,0,0
3/31/2026,,,0,0
3/31/2026,BROOKLYN,11203,3,0
3/31/2026,BROOKLYN,11234,0, 
3/31/2026,BRONX,10473,1,0
3/31/2026,BROOKLYN,11214,1,0
3/31/2026,BRONX,10469,1,0
3/31/2026,MANHATTAN,10009,0,0
3/31/2026,QUEENS,11692,0,0
3/31/2026,BROOKLYN,11229,2,0
3/31/2026,BROOKLYN,11203,0,0
3/31/2026,MANHATTAN,10029,0,0
3/31/2026,BROOKLYN,11213,1,0
3/31/2026,,,0,0
3/31/2026,BRONX,10451,1,0
3/31/2026,QUEENS,11693,1,0
3/31/2026,,,2,0
3/31/2026,MANHATTAN,10036,1,0
3/31/2026,,,1,0
3/31/2026,BROOKLYN,11229,1,0
3/31/2026,,,3,0
3/31/2026,BROOKLYN,11204,0, 
3/31/2026,QUEENS,11373,0,0
3/31/2026,QUEENS,11427,0,0
3/31/2026,STATEN ISLAND,10312,0,0
3/31/2026,,,0,0
3/31/2026,BROOKLYN,11208,1,0
3/31/2026,BROOKLYN,11220,0,0
3/31/2026,BROOKLYN,11207,0, 
3/31/2026,,,0,0
3/31/2026,QUEENS,11106,1,0
3/31/2026,BROOKLYN,11209,0,0
3/31/2026,,, ,0
3/31/2026,,,0,0
3/31/2026,,,0,0
3/31/2026,,,1,0
3/31/2026,MANHATTAN,10029,0,0
3/31/2026,BROOKLYN,11230,0,0
3/31/2026,BROOKLYN,11208,0,0
3/31/2026,BROOKLYN,11221,2,0
3/31/2026,QUEENS,11356,1,0
3/31/2026,BRONX,10467,0, 
3/31/2026,BROOKLYN,11213,0,0
3/31/2026,,,1,0
3/31/2026,QUEENS,11104,1,0
3/31/2026,MANHATTAN,10001,1,0
3/31/2026,STATEN ISLAND,10306,2,0
3/31/2026,BROOKLYN,11222,0,0
3/31/2026,QUEENS,11354,1,0
3/31/2026,BRONX,10453,0,0
3/31/2026,QUEENS,11378,1,0
3/31/2026,MANHATTAN,10000,0,0
3/31/2026,BROOKLYN,11210,2,0
3/31/2026,BRONX,10461,1,0
3/31/2026,MANHATTAN,10003,0,0
